rank,filter,grade,name,category,uploads,subscribers,views,stats_url,date_scraped,source
60,video views,B+,The Voice Indonesia,entertainment,408,180K,165355218,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
61,video views,B+,TonightShowNet,entertainment,3474,188K,164263227,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
62,video views,B+,KOMPASTV,news,45813,180K,161506369,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
63,video views,B+,cumivideo,entertainment,4460,83.9K,161477378,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
64,video views,B+,ilhamrj,music,71,47.7K,154330482,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
65,video views,A,Calon Sarjana,entertainment,151,831K,153823066,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
66,video views,A-,Erpan1140,games,367,676K,153318295,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
67,video views,B+,nathan fingerstyle,music,293,439K,150229540,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
68,video views,B+,Best Smule ID,music,1688,177K,149325604,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
69,video views,A-,CNN Indonesia,news,15633,200K,146053240,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
70,video views,B+,Lampu Islam,education,1224,441K,143305240,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
71,video views,B+,MusicEverywhereNet,music,1419,215K,143015807,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
72,video views,B+,surgawi,music,372,98.7K,142646755,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
73,video views,A-,Little Princess Shinta,entertainment,155,234K,140139933,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
74,video views,B+,MrZygy3,autos,1725,151K,139647680,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
75,video views,B+,Diva The Series,film,131,189K,137601325,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
76,video views,B+,Farid Hamz,people,889,--,136177634,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
77,video views,B+,matkiding,entertainment,6351,172K,135773416,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
78,video views,B+,Tara Arts Game Indonesia,games,648,595K,135014541,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
79,video views,B+,raisa6690,entertainment,109,286K,134818923,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
80,video views,B+,Zenmatho,games,385,665K,133367677,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
81,video views,A-,Armada Band,music,30,270K,132368264,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
82,video views,B+,musiktulus,music,40,193K,129756185,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
